DATA_REF,FROTA_LOCADA
2025-05-07,27490
2025-05-06,26383
2025-05-05,26130
2025-05-04,30526
2025-05-03,32459
2025-05-02,30815
2025-05-01,28785
2025-04-30,25808
2025-04-29,25211
2025-04-28,25602
2025-04-27,27775
2025-04-26,28554
2025-04-25,27951
2025-04-24,28043
2025-04-23,28146
2025-04-22,29857
2025-04-21,37590
2025-04-20,42434
2025-04-19,42801
2025-04-18,39612
2025-04-17,30753
2025-04-16,27630
2025-04-15,26900
2025-04-14,27490
2025-04-13,30404
2025-04-12,31132
2025-04-11,29469
2025-04-10,29509
2025-04-09,28916
2025-04-08,28292
2025-04-07,27377
2025-04-06,28601
2025-04-05,28582
2025-04-04,26446
2025-04-03,25983
2025-04-02,25304
2025-04-01,24337
2025-03-31,25058
2025-03-30,28470
2025-03-29,29387
2025-03-28,28213
2025-03-27,28942
2025-03-26,28963
2025-03-25,28316
2025-03-24,28348
2025-03-23,31266
2025-03-22,31880
2025-03-21,30168
2025-03-20,30364
2025-03-19,30143
2025-03-18,29915
2025-03-17,29505
2025-03-16,31576
2025-03-15,31897
2025-03-14,30566
2025-03-13,30575
2025-03-12,30114
2025-03-11,29021
2025-03-10,27972
2025-03-09,29490
2025-03-08,30144
2025-03-07,27668
2025-03-06,27121
2025-03-05,30513
2025-03-04,36521
2025-03-03,38961
2025-03-02,38628
2025-03-01,35418
2025-02-28,28429
2025-02-27,25958
2025-02-26,25382
2025-02-25,24910
2025-02-24,25442
2025-02-23,28068
2025-02-22,29089
2025-02-21,29003
2025-02-20,29600
2025-02-19,29516
2025-02-18,28815
2025-02-17,28397
2025-02-16,30418
2025-02-15,30644
2025-02-14,28729
2025-02-13,28689
2025-02-12,28364
2025-02-11,27691
2025-02-10,27446
2025-02-09,29799
2025-02-08,29978
2025-02-07,27354
2025-02-06,26540
2025-02-05,25765
2025-02-04,25108
2025-02-03,24998
2025-02-02,26701
2025-02-01,27086
2025-01-31,27006
2025-01-30,27634
2025-01-29,28201
2025-01-28,28358
2025-01-27,29617
2025-01-26,32949
2025-01-25,33841
2025-01-24,32301
2025-01-23,32216
2025-01-22,32066
2025-01-21,32017
2025-01-20,33423
2025-01-19,36218
2025-01-18,36409
2025-01-17,33599
2025-01-16,32760
2025-01-15,32443
2025-01-14,31916
2025-01-13,32733
2025-01-12,35447
2025-01-11,35638
2025-01-10,33069
2025-01-09,31644
2025-01-08,31000
2025-01-07,30416
2025-01-06,31174
2025-01-05,34195
2025-01-04,35900
2025-01-03,36741
2025-01-02,40048
2025-01-01,44514
2024-12-31,44469
2024-12-30,41377
2024-12-29,39735
2024-12-28,38170
2024-12-27,34858
2024-12-26,35680
2024-12-25,37680
2024-12-24,36289
2024-12-23,33596
2024-12-22,32326
2024-12-21,30825
2024-12-20,27309
2024-12-19,26290
2024-12-18,25920
2024-12-17,25525
2024-12-16,26195
2024-12-15,29805
2024-12-14,30209
2024-12-13,27924
2024-12-12,27228
2024-12-11,26693
2024-12-10,25836
2024-12-09,26040
2024-12-08,30214
2024-12-07,30734
2024-12-06,26872
2024-12-05,25588
2024-12-04,24981
2024-12-03,24262
2024-12-02,24417
2024-12-01,28100
2024-11-30,29722
2024-11-29,27297
2024-11-28,26896
2024-11-27,26563
2024-11-26,25791
2024-11-25,25553
2024-11-24,28726
2024-11-23,29456
2024-11-22,26909
2024-11-21,25461
2024-11-20,25097
2024-11-19,25714
2024-11-18,27265
2024-11-17,33406
2024-11-16,34733
2024-11-15,33054
2024-11-14,27946
2024-11-13,26179
2024-11-12,25810
2024-11-11,25801
2024-11-10,29067
2024-11-09,29433
2024-11-08,27254
2024-11-07,26590
2024-11-06,25694
2024-11-05,24528
2024-11-04,23931
2024-11-03,26167
2024-11-02,26630
2024-11-01,23982
2024-10-31,24154
2024-10-30,24045
2024-10-29,23806
2024-10-28,24343
2024-10-27,28135
2024-10-26,28805
2024-10-25,26690
2024-10-24,26216
2024-10-23,25451
2024-10-22,24644
2024-10-21,24819
2024-10-20,28695
2024-10-19,29524
2024-10-18,27096
2024-10-17,26063
2024-10-16,25336
2024-10-15,25225
2024-10-14,26240
2024-10-13,29957
2024-10-12,30045
2024-10-11,26190
2024-10-10,24311
2024-10-09,23661
2024-10-08,23052
2024-10-07,23876
2024-10-06,27500
2024-10-05,27183
2024-10-04,23570
2024-10-03,22286
2024-10-02,21275
2024-10-01,20125
2024-09-30,21144
2024-09-29,24531
2024-09-28,25131
2024-09-27,23484
2024-09-26,23616
2024-09-25,23593
2024-09-24,23220
2024-09-23,23321
2024-09-22,26984
2024-09-21,27644
2024-09-20,25546
2024-09-19,24812
2024-09-18,24060
2024-09-17,23178
2024-09-16,23486
2024-09-15,27189
2024-09-14,27807
2024-09-13,24961
2024-09-12,24319
2024-09-11,23637
2024-09-10,22595
2024-09-09,23133
2024-09-08,27294
2024-09-07,27710
2024-09-06,23727
2024-09-05,21925
2024-09-04,20991
2024-09-03,19882
2024-09-02,19297
2024-09-01,21858
2024-08-31,23068
2024-08-30,21411
2024-08-29,21622
2024-08-28,21720
2024-08-27,21451
2024-08-26,21410
2024-08-25,23846
2024-08-24,24652
2024-08-23,23640
2024-08-22,23732
2024-08-21,23353
2024-08-20,22624
2024-08-19,22594
2024-08-18,26140
2024-08-17,26801
2024-08-16,24570
2024-08-15,23770
2024-08-14,22946
2024-08-13,22031
2024-08-12,21747
2024-08-11,24849
2024-08-10,24819
2024-08-09,22480
2024-08-08,22161
2024-08-07,21505
2024-08-06,20591
2024-08-05,20261
2024-08-04,22515
2024-08-03,22919
2024-08-02,21059
2024-08-01,20730
2024-07-31,20077
2024-07-30,20862
2024-07-29,22260
2024-07-28,26482
2024-07-27,27435
2024-07-26,25953
2024-07-25,25807
2024-07-24,25378
2024-07-23,24846
2024-07-22,25492
2024-07-21,28836
2024-07-20,29403
2024-07-19,27012
2024-07-18,26094
2024-07-17,25431
2024-07-16,24708
2024-07-15,24620
2024-07-14,26686
2024-07-13,26699
2024-07-12,23993
2024-07-11,22998
2024-07-10,22286
2024-07-09,21979
2024-07-08,22876
2024-07-07,25177
2024-07-06,25070
2024-07-05,22244
2024-07-04,21870
2024-07-03,21188
2024-07-02,20239
