DATA_REF,FROTA_LOCADA
2025-05-08,28226.827658594615
2025-05-09,28388.174028858262
2025-05-10,28662.87969129759
2025-05-11,29072.424934615323
2025-05-12,25177.387543380177
2025-05-13,27011.206308372388
2025-05-14,27908.850421923533
2025-05-15,28553.128851509788
2025-05-16,29127.58509853167
2025-05-17,29411.787159127798
2025-05-18,27525.677312497202
2025-05-19,26179.03037902596
2025-05-20,24981.759096226073
2025-05-21,25434.35725114287
2025-05-22,25438.075213163687
2025-05-23,25248.964053677435
2025-05-24,26785.12466705384
2025-05-25,25393.525670769584
2025-05-26,23790.36455907251
2025-05-27,25145.65946183944
2025-05-28,23883.92887549671
2025-05-29,24609.61157399537
2025-05-30,27503.807683610645
2025-05-31,27243.972676539524
2025-06-01,26796.288348508806
2025-06-02,22841.46971006567
2025-06-03,24814.636451050766
2025-06-04,24167.449707292417
2025-06-05,26464.67610636827
2025-06-06,25888.885132828906
2025-06-07,29431.926540123273
2025-06-08,28959.405629435365
2025-06-09,25761.12551242921
2025-06-10,26369.773867662712
2025-06-11,25884.213500934493
2025-06-12,28160.879692756986
2025-06-13,28422.403631781664
2025-06-14,28872.259458996243
2025-06-15,28113.09036387861
2025-06-16,24339.444689366854
2025-06-17,24443.697241043355
2025-06-18,24852.626751861488
2025-06-19,27235.471865307212
2025-06-20,26356.962572665587
2025-06-21,27179.271756510483
2025-06-22,25755.6708013664
2025-06-23,24232.16241846697
2025-06-24,23287.2980269895
2025-06-25,23683.062388736125
2025-06-26,22967.918801262334
2025-06-27,23833.09055741883
2025-06-28,25652.942851259162
2025-06-29,24647.832423098
2025-06-30,22029.236193645622
2025-07-01,22623.196794675303
2025-07-02,25445.16951011514
2025-07-03,26749.525544190867
2025-07-04,25523.789018649328
2025-07-05,27877.28700646223
2025-07-06,27640.52817868941
